,text,intent,slots,pattern_id
1455,بی‌پدر,offensive_general,o,3001455
1473,به درک,offensive_general,o o,3001473
1479,ازگل,offensive_general,o,3001479
1489,ابله,offensive_general,o,3001489
1491,دروغگو,offensive_general,o,3001491
1493,کونی,offensive_general,o,3001493
1498,قرمساق,offensive_general,o,3001498
1505,احمق,offensive_general,o,3001505
1512,تمرکزت به فاک رفته,offensive_general,o o o o,3001512
1520,برو گمشو,offensive_general,o o,3001520
1521,پدرسگ,offensive_general,o,3001521
1522,گوزو,offensive_general,o,3001522
1523,مادرجنده,offensive_general,o,3001523
1526,جنده,offensive_general,o,3001526
1529,هالو,offensive_general,o,3001529
1530,روسپی,offensive_general,o,3001530
1532,دهنتو ببند,offensive_general,o o,3001532
1539,خفه شو,offensive_general,o o,3001539
1540,جاکش,offensive_general,o,3001540
1541,حرومزاده,offensive_general,o,3001541
1549,میمون,offensive_general,o,3001549
1554,کس ننت,offensive_general,o o,3001554
1610,برو گم شو,offensive_general,o o o,3001610
1622,کیرم تو قبرت,offensive_general,o o o,3001622
1639,کفتار,offensive_general,o,3001639
1646,افغانی,offensive_general,o,3001646
1660,نکبت,offensive_general,o,3001660
1662,خاک برسرت با حرف زدنت,offensive_general,o o o o o,3001662
1679,ریدم بهت,offensive_general,o o,3001679
1694,جاکش,offensive_general,o,3001694
1721,پدرسوخته,offensive_general,o,3001721
1726,حرف مفت نزن,offensive_general,o o o,3001726
1768,کون لقت,offensive_general,o o,3001768
1772,گوزیدی,offensive_general,o,3001772
1774,جاکش,offensive_general,o,3001774
1787,لاشخور,offensive_general,o,3001787
1800,خایه مال,offensive_general,o o,3001800
1830,گوساله,offensive_general,o,3001830
1836,کون گشاد,offensive_general,o o,3001836
1839,عوضی,offensive_general,o,3001839
1848,برو گمشو,offensive_general,o o,3001848
1864,الاغ,offensive_general,o,3001864
1865,خدا لعنتت کنه,offensive_general,o o o,3001865
1867,لعنتی,offensive_general,o,3001867
1876,کون نشور,offensive_general,o o,3001876
1884,عن خانم,offensive_general,o o,3001884
1886,سگ,offensive_general,o,3001886
1887,گاییدمت,offensive_general,o,3001887
1888,زنیکه,offensive_general,o,3001888
1890,کیرم توت,offensive_general,o o,3001890
1892,مادر جنده,offensive_general,o o,3001892
1921,مرتیکه,offensive_general,o,3001921
1923,کیری,offensive_general,o,3001923
1931,پدر سگ,offensive_general,o o,3001931
1941,اسکول,offensive_general,o,3001941
1943,ابله,offensive_general,o,3001943
1949,کفتار,offensive_general,o,3001949
1952,دیوث,offensive_general,o,3001952
1954,جاکش,offensive_general,o,3001954
1958,کونت سوخت,offensive_general,o o,3001958
1978,کیرتوت,offensive_general,o,3001978
1979,کونی,offensive_general,o,3001979
1982,بیسواد,offensive_general,o,3001982
1986,زر مفت نزن,offensive_general,o o o,3001986
1988,کونی,offensive_general,o,3001988
1991,دروغگو,offensive_general,o,3001991
1993,شاشو,offensive_general,o,3001993
2003,بی لیاقت,offensive_general,o o,3002003
2012,بی ارزش,offensive_general,o o,3002012
2016,چاخان,offensive_general,o,3002016
2017,کون لقت,offensive_general,o o,3002017
2020,حرومزاده,offensive_general,o,3002020
2021,گدا,offensive_general,o,3002021
2026,کیرم تو کونت,offensive_general,o o o,3002026
2030,عوضی,offensive_general,o,3002030
2032,گوزو,offensive_general,o,3002032
2035,عن,offensive_general,o,3002035
2036,کثافت,offensive_general,o,3002036
2037,تف به ذاتت,offensive_general,o o o,3002037
2041,کیرم تو دهنت,offensive_general,o o o,3002041
2049,لاس زن,offensive_general,o o,3002049
2052,عنتر,offensive_general,o,3002052
2053,انتر,offensive_general,o,3002053
2063,گدا,offensive_general,o,3002063
2064,لال شو,offensive_general,o o,3002064
2065,گوزو,offensive_general,o,3002065
