,text,intent,slots,pattern_id
0,پاکستان و کره شمالي هم حاکماني دارن که تفکرشان مثل تفکر رهبر آن قلاب ايرانه. .,offensive,o o o o o o o o o o o o o o o o,3500000
1,پول قمار کمک ب مردم فقیر,offensive,o o o o o o,3500001
2,هنوز در توهم انقلابی,offensive,o o o o,3500002
3,اگه مملکت صاحب داشت تو باید تو ديونه خونه باشي نه اينجا جواب منو بدی,offensive,o o o o o o o o o o o o o o o,3500003
4,اگه سپاه نبود این همه برای واکسن کرونا اذیت نمی شدیم ,offensive,o o o o o o o o o o o,3500004
5,تو بورس ملياردها تومان پول مردم خوردن بردن,offensive,o o o o o o o o,3500005
6,همه تجمع های مردم رو يرکوب ميکنن تا بار ديگه به مردم ايران بفهمونن که منتظر اپوزيشن ها نباشن,offensive,o o o o o o o o o o o o o o o o o o o,3500006
7,چقدر اين روسيه وچين غارت کردن مملکتو,offensive,o o o o o o o,3500007
8,می‌بینی مسئولین مملکت ما چقدر عقده این,offensive,o o o o o o o,3500008
9,بله با کاخهايي که براي خودشون ساختن کشور رو اداره ميکنن,offensive,o o o o o o o o o o o,3500009
10,آدمی که به طرح FATF و سند ۲۰۳۰ رای بده از این بیشتر ازش انتظار نمیره,offensive,o o o o o o o o o o o o o o o o,3500010
11,بايد ملت تاوان بدهند تا دفعه بعد دل به احزاب خوش نکنند,offensive,o o o o o o o o o o o o,3500011
12,مسئولین همون کفداري هستن که مردم ميگن,offensive,o o o o o o o,3500012
13, فخري زاده يا رو از داخل اورشليم زد آبکشش کرد,offensive,o o o o o o o o o o,3500013
14,آخوندي هلاک شد پدرش در اومد با اين مجازات,offensive,o o o o o o o o o,3500014
15,اگه راست ميگي وانقلابي هستي با ولخرجيهاي اقازادها وياربخشيها به اعراب گدا گشنه مبارزه کن,offensive,o o o o o o o o o o o o o o o,3500015
16,اخه یکی به این مسئولین خرفت بگه چهل ساله که مملکتو دوستای شما وهمفکرای شما به قهقرا کشوندن ,offensive,o o o o o o o o o o o o o o o o o o,3500016
17,دولت بايد در دست دولتمرد واقتصاد دان وسياستمدار قرار بگيرد اينقدر آخوندا رو بر سر سياست نشانيد بس است ,offensive,o o o o o o o o o o o o o o o o o o o,3500017
18,این حکومت از ریشه فاسده,offensive,o o o o o,3500018
19,اون کارشناس روس از علي شيره اي رشوه گرفته,offensive,o o o o o o o o o,3500019
20,اعدام باید گردد,offensive,o o o,3500020
21,در اصل جمهوري اسلامي از علي خاعنه اي الي پايين ترين درجه بايد مجازات بشن ,offensive,o o o o o o o o o o o o o o o,3500021
22,حيف ايران و ايراني و سيستان بلوچستان ک چنين زن پرحاشيه و بيسوادي بشه سفيرش,offensive,o o o o o o o o o o o o o o o,3500022
23,براي نظام اقتدار براي مردم بي تدبيري نظام,offensive,o o o o o o o o,3500023
24,چون خامنه اي بهمراه سپايان در جمع ميشن چهارپايان,offensive,o o o o o o o o o,3500024
25,چهل ساله ايران و آمريکا و اسراييل براي هم شاخ و شونه ميکشن اما فقط شاخ و شونه,offensive,o o o o o o o o o o o o o o o o o o,3500025
26,اون مسيولين و آخونداتونو به قول خودتون دوست اهلبيت رو جمع کنيد بچه هاشون انگليس و آلمان زندگي ميکنن,offensive,o o o o o o o o o o o o o o o o o o o,3500026
27,ازبس که اين اخوندها دروغ گفتن مسولين هم دزدي کردن برکت رفت ,offensive,o o o o o o o o o o o o,3500027
28,اون موقع كه ميگفتن با روحاني تا ١٤٠٠ فكر اينجاشو ميكردن,offensive,o o o o o o o o o o o,3500028
29,تو ایران فقر زیاده به تنگ آمدیم,offensive,o o o o o o o,3500029
30,انشالله يمن عربستان را نابود کند ببینیم چی می شه,offensive,o o o o o o o o o o,3500030
31,ببينيم رییسی و دارو دسته اش محاکمه ميشن يا نه,offensive,o o o o o o o o o o,3500031
32,اینا پس کی میخوان یه حالی به این وهابیای ملخ خور بدن خسته شدیم,offensive,o o o o o o o o o o o o o o,3500032
33,تف به شرفتون از اون بالا گرفته تا پايين ترينتان که اوضاع کشور به چه روزي انداختيد ,offensive,o o o o o o o o o o o o o o o o o,3500033
34,آبرويزي اونه که پول مردم تو بورس هي ميخورند,offensive,o o o o o o o o o,3500034
35,خاک توسرشون با ان عمامه گذاشتنشون,offensive,o o o o o o,3500035
36,خاک تو سر ريس جمهور انتصابي,offensive,o o o o o o,3500036
37, کوربشه چشم حسود، ننگ بر عمامه به سرها,offensive,o o o o o o o o,3500037
38,هرجا بشه پول از ملت بيچاره دزديد آخوند در راس کار بوده و هست,offensive,o o o o o o o o o o o o o o,3500038
39,پولای مردم بدبخت ایران و چجوری به گاییدن میدی,offensive,o o o o o o o o o,3500039
40,اينقدر تبليغ کنيد اين رژيم از سر تا پا قرق فساد ,offensive,o o o o o o o o o o o,3500040
41,تنها راه نجات ايران سوزاندن آخوندها با قران,offensive,o o o o o o o o,3500041
42,همه اين آخوندا رو بايستي مثل آتاتورک بريزي دريا کوسه ها بخورن,offensive,o o o o o o o o o o o o,3500042
